Caso de Uso,Cenario,Repeticao,Tempo (ms)
Caso 1 Campo unico,Sem Indice,1,954.863
Caso 1 Campo unico,Sem Indice,2,774.173
Caso 1 Campo unico,Sem Indice,3,818.969
Caso 1 Campo unico,Sem Indice,4,925.8
Caso 1 Campo unico,Sem Indice,5,840.825
Caso 1 Campo unico,Sem Indice,6,752.306
Caso 1 Campo unico,Sem Indice,7,762.178
Caso 1 Campo unico,Sem Indice,8,754.405
Caso 1 Campo unico,Sem Indice,9,908.155
Caso 1 Campo unico,Sem Indice,10,922.232
Caso 1 Campo unico,Com Indice,1,780.483
Caso 1 Campo unico,Com Indice,2,759.002
Caso 1 Campo unico,Com Indice,3,709.708
Caso 1 Campo unico,Com Indice,4,689.264
Caso 1 Campo unico,Com Indice,5,674.209
Caso 1 Campo unico,Com Indice,6,707.727
Caso 1 Campo unico,Com Indice,7,696.794
Caso 1 Campo unico,Com Indice,8,670.363
Caso 1 Campo unico,Com Indice,9,671.403
Caso 1 Campo unico,Com Indice,10,643.731
Caso 2 Composto,Sem Indice,1,67522.02
Caso 2 Composto,Sem Indice,2,70016.715
Caso 2 Composto,Sem Indice,3,67820.011
Caso 2 Composto,Sem Indice,4,68593.097
Caso 2 Composto,Sem Indice,5,67898.452
Caso 2 Composto,Sem Indice,6,67921.145
Caso 2 Composto,Sem Indice,7,59401.617
Caso 2 Composto,Sem Indice,8,49624.398
Caso 2 Composto,Sem Indice,9,49385.618
Caso 2 Composto,Sem Indice,10,49456.891
Caso 2 Composto,Com Indice,1,264.863
Caso 2 Composto,Com Indice,2,271.821
Caso 2 Composto,Com Indice,3,264.67
Caso 2 Composto,Com Indice,4,274.815
Caso 2 Composto,Com Indice,5,274.382
Caso 2 Composto,Com Indice,6,260.08
Caso 2 Composto,Com Indice,7,261.151
Caso 2 Composto,Com Indice,8,260.256
Caso 2 Composto,Com Indice,9,254.676
Caso 2 Composto,Com Indice,10,253.391
Caso 3 Faixa numerica,Sem Indice,1,83037.58
Caso 3 Faixa numerica,Sem Indice,2,82540.452
Caso 3 Faixa numerica,Sem Indice,3,82582.245
Caso 3 Faixa numerica,Sem Indice,4,82171.191
Caso 3 Faixa numerica,Sem Indice,5,82383.382
Caso 3 Faixa numerica,Sem Indice,6,82421.659
Caso 3 Faixa numerica,Sem Indice,7,82277.436
Caso 3 Faixa numerica,Sem Indice,8,82408.169
Caso 3 Faixa numerica,Sem Indice,9,82092.104
Caso 3 Faixa numerica,Sem Indice,10,82367.086
Caso 3 Faixa numerica,Com Indice,1,3753.264
Caso 3 Faixa numerica,Com Indice,2,3860.206
Caso 3 Faixa numerica,Com Indice,3,3721.395
Caso 3 Faixa numerica,Com Indice,4,3865.758
Caso 3 Faixa numerica,Com Indice,5,3725.876
Caso 3 Faixa numerica,Com Indice,6,3755.633
Caso 3 Faixa numerica,Com Indice,7,3730.257
Caso 3 Faixa numerica,Com Indice,8,3697.179
Caso 3 Faixa numerica,Com Indice,9,3740.73
Caso 3 Faixa numerica,Com Indice,10,3793.655
Caso 4 Datas,Sem Indice,1,93812.628
Caso 4 Datas,Sem Indice,2,93870.138
Caso 4 Datas,Sem Indice,3,95770.345
Caso 4 Datas,Sem Indice,4,93810.255
Caso 4 Datas,Sem Indice,5,93831.658
Caso 4 Datas,Sem Indice,6,93906.94
Caso 4 Datas,Sem Indice,7,93736.427
Caso 4 Datas,Sem Indice,8,93982.371
Caso 4 Datas,Sem Indice,9,93753.22
Caso 4 Datas,Sem Indice,10,93764.525
Caso 4 Datas,Com Indice,1,11455.933
Caso 4 Datas,Com Indice,2,11690.894
Caso 4 Datas,Com Indice,3,11651.132
Caso 4 Datas,Com Indice,4,11478.517
Caso 4 Datas,Com Indice,5,11585.781
Caso 4 Datas,Com Indice,6,11513.411
Caso 4 Datas,Com Indice,7,11517.692
Caso 4 Datas,Com Indice,8,11704.091
Caso 4 Datas,Com Indice,9,11488.292
Caso 4 Datas,Com Indice,10,11537.59
Caso 5 Textual,Sem Indice,1,120151.391
Caso 5 Textual,Sem Indice,2,120704.383
Caso 5 Textual,Sem Indice,3,120399.388
Caso 5 Textual,Sem Indice,4,120361.311
Caso 5 Textual,Sem Indice,5,120124.121
Caso 5 Textual,Sem Indice,6,119993.809
Caso 5 Textual,Sem Indice,7,120397.054
Caso 5 Textual,Sem Indice,8,119854.573
Caso 5 Textual,Sem Indice,9,120392.773
Caso 5 Textual,Sem Indice,10,120296.362
Caso 5 Textual,Com Indice,1,1.643
Caso 5 Textual,Com Indice,2,1.701
Caso 5 Textual,Com Indice,3,1.623
Caso 5 Textual,Com Indice,4,1.618
Caso 5 Textual,Com Indice,5,1.527
Caso 5 Textual,Com Indice,6,1.628
Caso 5 Textual,Com Indice,7,1.793
Caso 5 Textual,Com Indice,8,1.871
Caso 5 Textual,Com Indice,9,1.79
Caso 5 Textual,Com Indice,10,1.542
